latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,type,horizontalError,depthError,magError,magNst
35.53866667,-96.75766667,5.51,-0.15,ml,14.0,141.0,0.01619682163,0.07,earthquake,0.48,0.2,0.4,3.0
41.1983,-116.7252,9.8,1.1,ml,5.0,265.2,0.319,0.1418,earthquake,0.48,3.3,0.0,1.0
34.0195,-117.1893333,6.65,0.82,ml,47.0,61.0,0.06584,0.2,earthquake,0.19,0.49,0.165,26.0
39.1286,-104.6402,7.811,3.0,ml,15.0,65.0,0.429,0.94,earthquake,2.6,5.418,0.148,6.0
52.4905,160.946,10.0,5.1,mb,38.0,154.0,1.494,0.84,earthquake,10.65,1.934,0.034,276.0
36.5388336181641,-121.080169677734,5.34999990463257,1.14,md,9.0,62.0,0.05133,0.19,earthquake,0.62,2.58999991,0.16,8.0
63.0253,-151.5491,4.2,1.9,ml,20.0,88.0,0.05971,0.36,earthquake,0.48,0.4,0.159,12.5
31.617,-104.114,6.9458,1.3,ml,18.0,61.0,0.0,0.1,earthquake,0.6403652768358754,0.6662575430894393,0.2,11.0
39.1632,-119.0333,10.5,1.1,ml,16.0,106.57,0.24,0.1525,earthquake,0.48,1.6,0.26,6.0
33.1288333,-116.5213333,14.06,0.74,ml,25.0,96.0,0.07981,0.18,earthquake,0.37,0.62,0.151,7.0
51.8801666666667,-177.436833333333,-1.78,1.55,ml,7.0,170.0,0.1544,0.22,earthquake,0.8,0.73,0.213039670441464,7.0
35.33366667,-97.9345,6.65,1.53,ml,72.0,55.0,0.05848852256,0.22,earthquake,0.48,0.3,0.21,31.0
33.9868333,-117.208,15.39,1.0,ml,24.0,108.0,0.04905,0.24,EARTHQUAKE,0.37,0.62,0.274,32.0
46.198166666666665,-122.16583333333334,5.68,1.0,ml,40.0,70.0,0.01021,0.1,EARTHQUAKE,0.15,0.22,0.1196612063213911,19.0
38.4505,-112.804166666667,4.49,0.83,md,15.0,104.0,0.04138,0.05,earthquake,0.32,0.61,0.597285732463124,5.0
35.8806667,-117.7031667,4.04,0.82,ml,26.0,58.0,0.07961,0.11,earthquake,0.13,0.33,0.131,15.0
41.146,-116.7134,9.8,1.0,ml,4.0,260.80999999999995,0.307,0.1445,earthquake,0.48,2.8,0.0,1.0
32.116,-101.928,7.8857,2.0,ml,24.0,50.0,0.0,0.1,EARTHQUAKE,0.4551389772898956,0.8231202368579821,0.1,7.0
54.7413333333333,-164.005833333333,1.77,1.2,ml,4.0,192.0,0.03234,0.06,earthquake,0.76,0.46,0.285401721616992,4.0
